#,Saved,Author,Tweet text,Category,Usefulness,Target project,Action,Reason,Tweet URL,Outbound links,Candidate resources,Risk notes
3,2026-09-05T05:15:12,@wafer_ai,"wafer
@wafer_ai
·
Sep 5
Replying to 
@wafer_ai
Wafer AI Performance Engineering Repo:
GitHub - wafer-ai/gpu-perf-engineering-resources: A curated resource list for learning AI perform...
From github.com
1
11
965",ai-performance,high,general/cloud-index,add-reference,Focused curated repository for learning GPU and AI performance engineering.,https://x.com/wafer_ai/status/2096104842712469923,https://t.co/Zypk9gp7z0,"wafer-ai/gpu-perf-engineering-resources
https://t.co/Zypk9gp7z0",Large learning list; index remotely rather than cloning to this low-storage Mac.
4,2026-09-05T05:14:18,@wafer_ai,"wafer
@wafer_ai
·
Sep 5
we launched the most comprehensive ai performance engineering repo in the world last week

now we'll be doing a deep dive on every single resource

this is Wafer's AI Performance Engineering Series

save this as your starting point. links in thread 🧵

Part 1: Prefill vs Decode
Show more
16
34
411
15K",ai-performance,high,general/cloud-index,add-reference,Companion deep-dive series beginning with prefill versus decode.,https://x.com/wafer_ai/status/2096104615876190598,,Wafer AI Performance Engineering Series,Overlaps index 3 and should be deduplicated in the cloud index.
5,2026-09-15T13:03:00,@romainsimon,"Romain Simon
@romainsimon
·
Sep 15
424 cinematic techniques in the visual bible.

Camera movements, framing, shot size, angles,
lighting, composition, and more.

Video examples + prompts on most of them.

Free. Bookmark it:

https://
melies.co/cinematic-tech
niques
…
51
527
3.7K
438K",video-production,high,lab-zero-website,add-reference,Free visual reference covering 424 cinematic techniques with examples and prompts.,https://x.com/romainsimon/status/2099846444903805034,https://t.co/Sosy8CiRII,"https://melies.co/cinematic-techniques
https://t.co/Sosy8CiRII",Check licensing before reusing examples or prompts commercially.
9,2026-09-14T10:37:23,@marcelkargul,"Marcel
@marcelkargul
·
Sep 14
built the full CRM dashboard in Next.js in around 2 days 😍

with the help of Claude Fable 5.1 with two of the best skills:


https://
skills.sh/jakubkrehel/sk
ills/better-ui
…

https://
skills.sh/emilkowalski/s
kills/emil-design-eng
…

see it live: 
https://
sales-crm-kargulstudio.vercel.app
0:03 / 0:50
Quote
Marcel
@marcelkargul
·
Sep 3
cleanest CRM design you'll ever see
111
234
5K
1.4M",ui-skills,high,lab-zero-website,research-later,Two concrete UI and design-engineering skills plus a polished CRM reference.,https://x.com/marcelkargul/status/2099447410804035806,"https://t.co/63PuTFrun1
https://t.co/zhluCSlE9B
https://t.co/kXAERU2r2X","skills.sh/jakubkrehel/skills/better-ui
skills.sh/emilkowalski/skills/emil-design-eng
sales-crm-kargulstudio.vercel.app",Audit skill instructions and code before installation; demo claims are promotional.
10,2026-09-03T20:53:59,@NiroNikolai,"Nikolai Niro
@NiroNikolai
·
Sep 3
Replying to 
@thomaspark_gg
 and 
@marcelkargul
GitHub - twentyhq/twenty: The open alternative to Salesforce, designed for AI.
From github.com
1
24
1.3K",crm,high,general/cloud-index,research-later,Open-source AI-oriented Salesforce alternative could support future CRM needs.,https://x.com/NiroNikolai/status/2095616316333826484,https://t.co/VvkE6q1uKq,https://github.com/twentyhq/twenty,"Self-hosting adds database, security, backup, and maintenance burden."
13,2026-09-12T15:47:44,@deanwperkins,"Dean W. Perkins
@deanwperkins
·
Sep 12
Anthropic just released a 37-minute guide on how to build AI agents that can automate an entire business.

It’s free, and it comes straight from the engineers who built Claude.

Agents that actually work, delegate tasks, and get things done on their own.

Save this post 🔖
Readers added context they thought people might want to know
The video is a May 2026 hands-on workshop demo of building one specific incident-investigator agent with Claude Managed Agents, not a newly released comprehensive guide for automating an entire business; the content has been public since at least May.

youtube.com/watch?v=19HDQ9…
claude.com/blog/claude-ma…
github.com/anthropics/cwc…
Do you find this helpful?
Rate it
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
106
1.1K
6.8K
3.1M",ai-agents,high,general/cloud-index,add-reference,"Official Anthropic workshop, blog, and repository for a managed incident-investigator agent.",https://x.com/deanwperkins/status/2098800739665482003,"https://t.co/OyHNaZRLzK
https://t.co/o3784Y1DVQ
https://t.co/ErCP3xtAzT","Claude Managed Agents workshop
Anthropic CWC repository
https://t.co/OyHNaZRLzK
https://t.co/o3784Y1DVQ
https://t.co/ErCP3xtAzT","Tweet overstates scope; it is one workshop, not a guide to automating an entire business."
16,2026-09-09T15:25:05,@shiri_shh,"shirish
@shiri_shh
·
Sep 9
TL;DR: Owning assets is no longer optional.

You have about 3 to 4 years to stack wealth and build real distribution.

Once AI takes over half of cognitive work, selling your hours on a laptop won't protect you. In an AI economy, pure salaries get crushed while asset owners
Show more
Quote
Anthropic
@AnthropicAI
·
Sep 9
Anthropic’s Economics team is sharing a new model of how AI might affect economic growth, jobs, wages, and more by 2030.

Explore the scenarios, tell us what you think will happen, and see how your answers compare to more than 10,000 Americans. 
https://
anthropic.com/institute/econ
-scenarios
…
338
941
12K
2M",ai-economics,high,general/cloud-index,add-reference,Anthropic economic scenarios are a useful primary-source framework for AI labor impacts.,https://x.com/shiri_shh/status/2097707876492230823,,Anthropic Institute economic scenarios,"Quoted wealth deadline is the poster's speculation, not Anthropic's conclusion; not financial advice."
19,2026-09-01T17:28:12,@theworldlabs,"World Labs
@theworldlabs
·
Sep 1
Introducing Atlas:

The world's first multimodal world model that generates image and video frames with pixel-perfect camera control and reconstructs them in 3D.

Model the world, move the camera, and simulate space & time.
776
5K
32K
10M",world-models,high,general/cloud-index,research-later,Notable multimodal model for controllable image/video generation and 3D reconstruction.,https://x.com/theworldlabs/status/2094839756329041984,,World Labs Atlas,"Check actual access, pricing, provenance, licensing, and benchmark evidence."
22,2026-08-28T23:40:53,@lenxism,"Leo Antunes
@lenxism
·
Aug 28
Replying to 
@lenxism
 
@freedomwillwork
 and 
@runwayml
+ using Runway Ruby -
help.runwayml.com
Creating HDR videos with Runway Ruby
Transform your standard dynamic range (SDR) videos into true high dynamic range (HDR) withRuby, Runway's native color grading model. Whether your footage comes from a Runway generation, a third-par...
1
384",video-production,high,lab-zero-website,add-reference,Runway's native HDR grading workflow is directly relevant to polished video output.,https://x.com/lenxism/status/2093483992028717308,https://t.co/AfcEItEws4,"Runway Ruby HDR
https://t.co/AfcEItEws4",Paid service; verify source-footage rights and HDR display/export compatibility.
23,2026-08-27T15:34:25,@vercel,"Vercel
@vercel
·
Aug 27
We built 
https://
vgpu.sh to ship shaders on 
https://
vercel.com. Now it's open source.

▪︎ Minimal agent-first WebGPU library
▪︎ Run in the browser or headless Node.js
▪︎ Render in CPU sandboxes and CI tests
▪︎ Create reusable .wgsl modules
0:49
156
525
4.9K
917K",graphics-engineering,high,general/cloud-index,research-later,"Open-source agent-first WebGPU library supporting browser, Node, CPU sandbox, and CI rendering.",https://x.com/vercel/status/2092999180780556643,"https://t.co/ESOyv3KDeM
https://t.co/pLuAOUwBOE","vgpu.sh
Vercel vGPU
WGSL modules
https://t.co/ESOyv3KDeM","Early library and niche need; review API stability, license, and browser support before adoption."
24,2026-08-25T20:28:59,@danielmckinn0n,"Daniel McKinnon
@danielmckinn0n
·
Aug 25
Rare-disease diagnostics tend to be slow and expensive. They don't need to be.

Within an hour of seeing 
@cgeorgiaw
's 
@huggingface
 challenge to diagnose a real child living with Mosaic Variegated Aneuploidy (MVA), 
@Gamowlabs
 submitted a correct molecular diagnosis identified by
Show more
Quote
Ward Bradt
@wardbradt
·
Aug 25
Powerful challenge from @huggingface @Sagebio to develop agentic tools for rare disease detection.

We @GamowLabs made the first submission of the contest and saturated the diagnosis benchmark, perfectly finding the patient's pathogenic variants using ""George,"" our agentic system  x.com/cgeorgiaw/stat…
3
6
70
9.6K",healthtech,high,general/cloud-index,research-later,Agentic rare-disease diagnostic challenge and reported benchmark result are technically important.,https://x.com/danielmckinn0n/status/2092348534825906646,,"Gamow Labs George
Hugging Face rare-disease challenge
Sage Bionetworks","Medical claims require independent validation, clinical oversight, privacy controls, and regulatory review."
